Date,Utilization of Refinery in %,Production,Demand,Contract 1 FP,Global Sale (in millions),Last Day's Price,Price
12/23/2016,91,4516.18,4334.96,53.02,0.904920529,53.02,50.4
12/27/2016,91.25,4514.068,4349.654,53.9,1.000437573,53.46000076,53.90000153
12/28/2016,91.5,4511.956,4364.348,54.06,1.095954616,53.90000153,54.06000137
12/29/2016,91.75,4509.844,4379.042,53.77,1.19147166,54.06000137,53.77000046
12/30/2016,92,4507.732,4393.736,53.72,1.286988703,53.77000046,53.72000122
1/1/2017,92.32,4505.62,4408.43,53.025,1.382505747,53.74500084,53.02500153
1/3/2017,92.64,4506.069407,4408.508379,52.33,1.386091598,53.72000122,52.33000183
1/4/2017,92.96,4506.518814,4408.586759,53.26,1.389677449,52.33000183,53.25999832
1/5/2017,93.28,4506.968221,4408.665138,53.76,1.3932633,53.25999832,53.75999832
1/6/2017,93.6,4507.417628,4408.743518,53.99,1.396849151,53.75999832,53.99000168
1/9/2017,93.02,4507.867036,4408.821897,51.96,1.400435002,53.99000168,51.95999908
1/10/2017,92.44,4508.316443,4408.900277,50.82,1.404020853,51.95999908,50.81999969
1/11/2017,91.86,4508.76585,4408.978656,52.25,1.407606704,50.81999969,52.25
1/12/2017,91.28,4509.215257,4409.057036,53.01,1.411192555,52.25,53.00999832
1/13/2017,90.7,4509.664664,4409.135415,52.37,1.414778406,53.00999832,52.36999893
1/17/2017,90.1,4510.114071,4409.213794,52.48,1.418364256,52.36999893,52.47999954
1/18/2017,89.5,4510.563478,4409.292174,51.08,1.421950107,52.47999954,51.08000183
1/19/2017,88.9,4511.012885,4409.370553,51.37,1.425535958,51.08000183,51.36999893
1/20/2017,88.3,4511.462292,4409.448933,52.42,1.429121809,51.36999893,52.41999817
1/23/2017,88.28,4511.9117,4409.527312,52.75,1.43270766,52.41999817,52.75
1/24/2017,88.26,4512.361107,4409.605692,53.18,1.436293511,52.75,53.18000031
1/25/2017,88.24,4512.810514,4409.684071,52.75,1.439879362,53.18000031,52.75
1/26/2017,88.22,4513.259921,4409.762451,53.78,1.443465213,52.75,53.77999878
1/27/2017,88.2,4513.709328,4409.84083,53.17,1.447051064,53.77999878,53.16999817
1/30/2017,88.1,4514.158735,4409.919209,52.63,1.450636915,53.16999817,52.63000107
1/31/2017,88,4514.608142,4409.997589,52.81,1.454222766,52.63000107,52.81000137
2/1/2017,87.9,4515.057549,4410.075968,53.88,1.457808617,52.81000137,53.88000107
2/2/2017,87.8,4515.506957,4410.154348,53.54,1.461394468,53.88000107,53.54000092
2/3/2017,87.7,4515.956364,4410.232727,53.83,1.464980319,53.54000092,53.83000183
2/6/2017,87.24,4516.405771,4410.311107,53.01,1.46856617,53.83000183,53.00999832
2/7/2017,86.78,4516.855178,4410.389486,52.17,1.472152021,53.00999832,52.16999817
2/8/2017,86.32,4517.304585,4410.467866,52.34,1.475737872,52.16999817,52.34000015
2/9/2017,85.86,4517.753992,4410.546245,53,1.479323723,52.34000015,53
2/10/2017,85.4,4518.203399,4410.624625,53.86,1.482909573,53,53.86000061
2/13/2017,85.18,4518.652806,4410.703004,52.93,1.486495424,53.86000061,52.93000031
2/14/2017,84.96,4519.102213,4410.781383,53.2,1.490081275,52.93000031,53.20000076
2/15/2017,84.74,4519.551621,4410.859763,53.11,1.493667126,53.20000076,53.11000061
2/16/2017,84.52,4520.001028,4410.938142,53.36,1.497252977,53.11000061,53.36000061
2/17/2017,84.3,4520.450435,4411.016522,53.4,1.500838828,53.36000061,53.40000153
2/21/2017,84.725,4520.899842,4411.094901,54.06,1.504424679,53.40000153,54.06000137
2/22/2017,85.15,4521.349249,4411.173281,53.59,1.50801053,54.06000137,53.59000015
2/23/2017,85.575,4521.798656,4411.25166,54.45,1.511596381,53.59000015,54.45000076
2/24/2017,86,4522.248063,4411.33004,53.99,1.515182232,54.45000076,53.99000168
2/27/2017,85.98,4522.69747,4411.408419,54.05,1.518768083,53.99000168,54.04999924
2/28/2017,85.96,4523.146877,4411.486798,54.01,1.522353934,54.04999924,54.00999832
3/1/2017,85.94,4523.596285,4411.565178,53.83,1.525939785,54.00999832,53.83000183
3/2/2017,85.92,4524.045692,4411.643557,52.61,1.529525636,53.83000183,52.61000061
3/3/2017,85.9,4524.495099,4411.721937,53.33,1.533111487,52.61000061,53.33000183
3/6/2017,85.74,4524.944506,4411.800316,53.2,1.536697338,53.33000183,53.20000076
3/7/2017,85.58,4525.393913,4411.878696,53.14,1.540283189,53.20000076,53.13999939
3/8/2017,85.42,4525.84332,4411.957075,50.28,1.54386904,53.13999939,50.27999878
3/9/2017,85.26,4526.292727,4412.035455,49.28,1.54745489,50.27999878,49.27999878
3/10/2017,85.1,4526.742134,4412.113834,48.49,1.551040741,49.27999878,48.49000168
3/13/2017,85.56,4527.191542,4412.192213,48.4,1.554626592,48.49000168,48.40000153
3/14/2017,86.02,4527.640949,4412.270593,47.72,1.558212443,48.40000153,47.72000122
3/15/2017,86.48,4528.090356,4412.348972,48.86,1.561798294,47.72000122,48.86000061
3/16/2017,86.94,4528.539763,4412.427352,48.75,1.565384145,48.86000061,48.75
3/17/2017,87.4,4528.98917,4412.505731,48.78,1.568969996,48.75,48.77999878
3/20/2017,87.78,4529.438577,4412.584111,48.22,1.572555847,48.77999878,48.22000122
3/21/2017,88.16,4529.887984,4412.66249,47.34,1.576141698,48.22000122,47.34000015
3/22/2017,88.54,4530.337391,4412.74087,48.04,1.579727549,47.34000015,48.04000092
3/23/2017,88.92,4530.786798,4412.819249,47.7,1.5833134,48.04000092,47.70000076
3/24/2017,89.3,4531.236206,4412.897628,47.97,1.586899251,47.70000076,47.97000122
3/27/2017,89.6,4531.685613,4412.976008,47.73,1.590485102,47.97000122,47.72999954
3/28/2017,89.9,4532.13502,4413.054387,48.37,1.594070953,47.72999954,48.36999893
3/29/2017,90.2,4532.584427,4413.132767,49.51,1.597656804,48.36999893,49.50999832
3/30/2017,90.5,4533.033834,4413.211146,50.35,1.601242655,49.50999832,50.34999847
3/31/2017,90.8,4533.483241,4413.289526,50.6,1.604828506,50.34999847,50.59999847
4/3/2017,90.84,4533.932648,4413.367905,50.24,1.608414357,50.59999847,50.24000168
4/4/2017,90.88,4534.382055,4413.446285,51.03,1.612000207,50.24000168,51.02999878
4/5/2017,90.92,4534.831462,4413.524664,51.15,1.615586058,51.02999878,51.15000153
4/6/2017,90.96,4535.28087,4413.603043,51.7,1.619171909,51.15000153,51.70000076
4/7/2017,91,4535.730277,4413.681423,52.24,1.62275776,51.70000076,52.24000168
4/10/2017,91.38,4536.179684,4413.759802,53.08,1.626343611,52.24000168,53.08000183
4/11/2017,91.76,4536.629091,4413.838182,53.4,1.629929462,53.08000183,53.40000153
4/12/2017,92.14,4537.078498,4413.916561,53.11,1.633515313,53.40000153,53.11000061
4/13/2017,92.52,4537.527905,4413.994941,53.18,1.637101164,53.11000061,53.18000031
4/14/2017,92.9,4537.977312,4414.07332,52.915,1.640687015,53.18000031,52.91500092
4/17/2017,93.14,4538.426719,4414.1517,52.65,1.644272866,52.91500092,52.65000153
4/18/2017,93.38,4538.876126,4414.230079,52.41,1.647858717,52.65000153,52.40999985
4/19/2017,93.62,4539.325534,4414.308458,50.44,1.651444568,52.40999985,50.43999863
4/20/2017,93.86,4539.774941,4414.386838,50.27,1.655030419,50.43999863,50.27000046
4/21/2017,94.1,4540.224348,4414.465217,49.62,1.65861627,50.27000046,49.61999893
4/24/2017,93.94,4540.673755,4414.543597,49.23,1.662202121,49.61999893,49.22999954
4/25/2017,93.78,4541.123162,4414.621976,49.56,1.665787972,49.22999954,49.56000137
4/26/2017,93.62,4541.572569,4414.700356,49.62,1.669373823,49.56000137,49.61999893
4/27/2017,93.46,4542.021976,4414.778735,48.97,1.672959674,49.61999893,48.97000122
4/28/2017,93.3,4542.471383,4414.857115,49.33,1.676545524,48.97000122,49.33000183
5/1/2017,92.94,4542.920791,4414.935494,48.84,1.680131375,49.33000183,48.84000015
5/2/2017,92.58,4543.370198,4415.013874,47.66,1.683717226,48.84000015,47.65999985
5/3/2017,92.22,4543.819605,4415.092253,47.82,1.687303077,47.65999985,47.81999969
5/4/2017,91.86,4544.269012,4415.170632,45.52,1.690888928,47.81999969,45.52000046
5/5/2017,91.5,4544.718419,4415.249012,46.22,1.694474779,45.52000046,46.22000122
5/8/2017,91.88,4545.167826,4415.327391,46.43,1.69806063,46.22000122,46.43000031
5/9/2017,92.26,4545.617233,4415.405771,45.88,1.701646481,46.43000031,45.88000107
5/10/2017,92.64,4546.06664,4415.48415,47.33,1.705232332,45.88000107,47.33000183
5/11/2017,93.02,4546.516047,4415.56253,47.83,1.708818183,47.33000183,47.83000183
5/12/2017,93.4,4546.965455,4415.640909,47.84,1.712404034,47.83000183,47.84000015
5/15/2017,93.42,4547.414862,4415.719289,48.85,1.715989885,47.84000015,48.84999847
5/16/2017,93.44,4547.864269,4415.797668,48.66,1.719575736,48.84999847,48.65999985
